#,Time,Gender,Name,Nationality,Date,Meet,Location,Stroke,Age 
2,23.44,Male,Geoff Huegill, Australia,2001,World Championships,"Fukuoka, Japan",Butterfly,22
3,23.43,Male,Matt Welsh, Australia,2003,World Championships,"Barcelona, Spain",Butterfly,27
4,23.3,Male,Ian Crocker, United States,2004,Big 12 Time Trials,"Austin, United States",Butterfly,22
5,23.01,Male,Roland Schoeman, South Africa,2005,World Championships,"Montreal, Canada",Butterfly,25
6,22.96,Male,Roland Schoeman, South Africa,2005,World Championships,"Montreal, Canada",Butterfly,25
7,22.43,Male,Rafael Muñoz, Spain,2009,Spain Nationals,"Málaga, Spain",Butterfly,21
8,22.27,Male,Andriy Govorov, Ukraine,2018,Sette Colli Trophy,"Rome, Italy",Butterfly,26
1,26.54,Female,Inge de Bruijn, Netherlands,1999,Netherlands Championships,"Amersfoort, Netherlands",Butterfly,26
2,26.39,Female,Anna-Karin Kammerling, Sweden,1999,Sweden Championships,"Halmstad, Sweden",Butterfly,19
3,26.29,Female,Anna-Karin Kammerling, Sweden,1999,European Championships,"Istanbul, Turkey",Butterfly,19
4,25.83,Female,Inge de Bruijn, Netherlands,2000,Mare Nostrum,"Monte Carlo, Monaco",Butterfly,27
5,25.64,Female,Inge de Bruijn, Netherlands,2000,Super Speedo Grand Prix,"Sheffield, United Kingdom",Butterfly,22
6,25.57,Female,Anna-Karin Kammerling, Sweden,2002,European Championships,"Berlin, Germany",Butterfly,22
7,25.46,Female,Therese Alshammar, Sweden,2007,Mare Nostrum,"Barcelona, Spain",Butterfly,30
8,25.33,Female,Marleen Veldhuis, Netherlands,2009,Swim Cup Amsterdam,"Amsterdam, Netherlands",Butterfly,30
9,25.07,Female,Therese Alshammar, Sweden,2009,World Championships,"Rome, Italy",Butterfly,32
10,24.43,Female,Sarah Sjöström, Sweden,2014,Swedish Championships,"Borås, Sweden",Butterfly,21
WBT,27.61,Male,Alexander Dzhaburiya, Ukraine,1996,Ukraine Olympic Trials,"Kharkov, Ukraine",Breaststroke,
1,27.49,Male,Anthony Robinson, United States,2001,USA Nationals & World Championship Trials,"Austin, United States",Breaststroke,
2,27.39,Male,Ed Moses, United States,2001,USA Nationals & World Championship Trials,"Austin, United States",Breaststroke,21
3,27.18,Male,Oleg Lisogor, Ukraine,2002,European Championships,"Berlin, Germany",Breaststroke,23
4,27.06,Male,Cameron van der Burgh, South Africa,2009,South African Championships,"Durban, South Africa",Breaststroke,21
5,26.89,Male,Felipe França, Brazil,2009,Brazil Championships (Maria Lenk),"Rio de Janeiro, Brazil",Breaststroke,22
6,26.74,Male,Cameron van der Burgh, South Africa,2009,World Aquatics Championships,"Rome, Italy",Breaststroke,21
7,26.67,Male,Cameron van der Burgh, South Africa,2009,World Aquatics Championships,"Rome, Italy",Breaststroke,21
8,26.62,Male,Adam Peaty, Great Britain,2014,European Championships,"Berlin, Germany",Breaststroke,20
8,26.62,Male,Cameron van der Burgh, South Africa,2015,World Championships,"Kazan, Russia",Breaststroke,27
9,26.42,Male,Adam Peaty, Great Britain,2015,World Championships,"Kazan, Russia",Breaststroke,21
10,26.1,Male,Adam Peaty, Great Britain,2017,World Championships,"Budapest, Hungary",Breaststroke,21
11,25.95,Male,Adam Peaty, Great Britain,2017,World Championships,"Budapest, Hungary",Breaststroke,21
WBT,30.95,Female,Penelope Heyns, South Africa,1998,Goodwill Games,"New York, NY, United States",Breaststroke,24
1,30.83,Female,Penelope Heyns, South Africa,1999,Pan Pacific Championships,"Sydney, Australia",Breaststroke,25
2,30.57,Female,Zoe Baker, Great Britain,2002,Commonwealth Games,"Manchester, United Kingdom",Breaststroke,
3,30.45,Female,Jade Edmistone, Australia,2005,World Championships,"Montreal, Canada",Breaststroke,23
4,30.31,Female,Jade Edmistone, Australia,2006,AUS Nationals & Commonwealth Games Trials,"Melbourne, Australia",Breaststroke,24
5,30.23,Female,Amanda Reason, Canada,2009,CAN World Championship Trials,"Montreal, Canada",Breaststroke,16
6,30.09,Female,Yuliya Yefimova, Russia,2009,World Championships,"Rome, Italy",Breaststroke,17
7,29.95,Female,Jessica Hardy, United States,2009,US Open Time Trials,"Federal Way, United States",Breaststroke,22
8,29.8,Female,Jessica Hardy, United States,2009,US Open Time Trials,"Federal Way, United States",Breaststroke,22
9,29.78,Female,Yuliya Yefimova, Russia,2013,World Championships,"Barcelona, Spain",Breaststroke,21
10,29.48,Female,Rūta Meilutytė, Lithuania,2013,World Championships,"Barcelona, Spain",Breaststroke,16
11,29.4,Female,Lilly King, United States,2017,World Championships,"Budapest, Hungary",Breaststroke,20
WBT,25.13,Male,Jeff Rouse, United States,1993,Robert Burns Invitational,"Edinburgh, United Kingdom",Backstroke,23
1,24.99,Male,Lenny Krayzelburg, United States,1999,Pan Pacific Championships,"Sydney, Australia",Backstroke,24
2,24.8,Male,Thomas Rupprath, Germany,2003,World Championships,"Barcelona, Spain",Backstroke,26
3,24.47,Male,Liam Tancock, Great Britain,2008,British Championships,"Sheffield, United Kingdom",Backstroke,23
4,24.33,Male,Randall Bal, United States,2008,Dutch Swimming Cup,"Eindhoven, Netherlands",Backstroke,28
5,24.08,Male,Liam Tancock, Great Britain,2009,World Championships,"Rome, Italy",Backstroke,24
6,24.04,Male,Liam Tancock, Great Britain,2009,World Championships,"Rome, Italy",Backstroke,24
7,24,Male,Kliment Kolesnikov, Russia,2018,European Championships,"Glasgow, United Kingdom",Backstroke,18
1,29,Female,Sandra Völker, Germany,1997,Mare Nostrum,"Monte Carlo, Monaco",Backstroke,23
2,28.78,Female,Sandra Völker, Germany,1999,Mare Nostrum,"Monte Carlo, Monaco",Backstroke,25
