#,Time,Gender,Name,Nationality,Date,Meet,Location
WBT,23.68,Male,Denis Pankratov, Russia,10-Aug-96,Meet of Champions,"Mulhouse, France"
1,23.6,Male,Geoff Huegill, Australia,14-May-00,Australia Championships,"Sydney, Australia"
2,23.44,Male,Geoff Huegill, Australia,27-Jul-01,World Championships,"Fukuoka, Japan"
3,23.43,Male,Matt Welsh, Australia,21-Jul-03,World Championships,"Barcelona, Spain"
4,23.3,Male,Ian Crocker, United States,29-Feb-04,Big 12 Time Trials,"Austin, United States"
5,23.01,Male,Roland Schoeman, South Africa,24-Jul-05,World Championships,"Montreal, Canada"
6,22.96,Male,Roland Schoeman, South Africa,25-Jul-05,World Championships,"Montreal, Canada"
7,22.43,Male,Rafael Muñoz, Spain,5-Apr-09,Spain Nationals,"Málaga, Spain"
8,22.27,Male,Andriy Govorov, Ukraine,1-Jul-18,Sette Colli Trophy,"Rome, Italy"
