#,Time,Gender,Name,Nationality,Date,Meet,Location
WBT,25.13,Male,Jeff Rouse, United States,15-Apr-93,Robert Burns Invitational,"Edinburgh, United Kingdom"
1,24.99,Male,Lenny Krayzelburg, United States,28-Aug-99,Pan Pacific Championships,"Sydney, Australia"
2,24.8,Male,Thomas Rupprath, Germany,27-Jul-03,World Championships,"Barcelona, Spain"
3,24.47,Male,Liam Tancock, Great Britain,2-Apr-08,British Championships,"Sheffield, United Kingdom"
4,24.33,Male,Randall Bal, United States,5-Dec-08,Dutch Swimming Cup,"Eindhoven, Netherlands"
5,24.08,Male,Liam Tancock, Great Britain,1-Aug-09,World Championships,"Rome, Italy"
6,24.04,Male,Liam Tancock, Great Britain,2-Aug-09,World Championships,"Rome, Italy"
7,24,Male,Kliment Kolesnikov, Russia,4-Aug-18,European Championships,"Glasgow, United Kingdom"
